region,stage,phase,match_id,match_date,team,Damage Dealt,Damage Mitigated/Eliminations,Environmental Kills/10m,Damage as percent of total output,Time Played,Solo Kills/Deaths Ratio,Healing Done/Eliminations,Environmental Kills,Damage Mitigated/Deaths,Damage Mitigated as percent of total output,Healing Done as percent of total output,Objective Time,Damage Dealt/(Eliminations + Assists),Damage Mitigated/(Eliminations + Assists),Damage Dealt/Eliminations,Damage Dealt/10m,Final Blows/(Eliminations + Assists),Multi Kills/10m,K/D Ratio,Solo Kills/Damage Dealt Ratio,Solo Kills/10m,Damage Mitigated,Final Blows/Eliminations,Deaths/10m,Solo Kills/(Eliminations + Assists) Ratio,Eliminations/10m,Solo Kills/Eliminations Ratio,Healing Done/Deaths,Objective Time/10m,Solo Kills,Assists/10m,Assists,Healing Done,Multi Kills,Deaths,Healing Done/(Eliminations + Assists),Final Blows,(Eliminations + Assists)/Deaths,Damage Mitigated/10m,Eliminations,Solo Kills/Final Blows Ratio,Final Blows/10m,Healing Done/10m,Role,Result
EMEA,S2,Round Robin,EMEA_S2_RR_W6_D2_M2,2025-06-15T19:33:12,Twisted Minds,79717,1550.43,1.24,957,6435.0,4.92,2393.27,1.0,24344.33,237,303,703.0,3333.85,953.3499999999999,4778.66,110809.66,4.25,2.1,175.42000000000002,0,11.84,28612,5.66,28.92,0.38,359.26,0.48,15188.42,889.22,8.0,198.7,133,32312,2.0,23,1080.81,95.0,264.5,38546.49,243,1.19,139.68,43684.64,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S2,Round Robin,EMEA_S2_RR_W6_D2_M3,2025-06-15T20:31:34,The Ultimates,85854,5513.07,0.0,828,7795.0,0.53,16145.73,0.0,6753.32,266,406,777.0,8506.83,4658.7,12485.16,98378.73,5.02,0.0,24.69,0,4.79,41345,7.26,106.50999999999999,0.46,137.57,0.75,8204.710000000001,860.53,4.0,51.22,46,49269,0.0,92,5287.8,51.0,33.22,47642.68,121,1.5,58.65,56175.87,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S2,Round Robin,EMEA_S2_RR_W6_D2_M3,2025-06-15T20:31:34,Virtuspro,98434,2241.42,0.0,864,7795.0,1.5,5310.41,0.0,18869.72,247,389,724.0,4618.59,1770.9,6033.599999999999,113349.43,4.16,1.06,100.5,0,3.73,41909,5.35,58.660000000000004,0.14,285.63,0.16,17503.6,808.74,3.0,123.97,109,57067,1.0,51,2188.16,92.0,137.25,46957.48,247,0.28,106.52,65121.94,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W2_D1_M1,2025-09-13T17:41:02,Team Peps,80919,2680.89,2.25,947,6820.0,1.36,7598.24,2.0,4166.35,191,363,383.0,9121.14,2189.19,12702.46,106150.72,4.3,1.05,20.25,0,9.99,22675,5.42,116.81,0.66,147.38,0.8,6897.29,472.71,8.0,56.93,45,37682,1.0,87,3770.89,47.0,28.6,31628.52,120,2.0,58.04,50157.46,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S3,Round Robin,EMEA_S3_RR_W2_D1_M1,2025-09-13T17:41:02,Twisted Minds,80168,1574.28,1.05,889,6662.0,3.5,4569.4800000000005,1.0,16082.49,190,419,420.0,4278.54,1134.9,5684.83,109102.8,4.18,0.0,96.05,0,7.32,33496,5.3,61.24,0.37,298.91,0.38,18614.43,517.81,4.0,153.54999999999998,122,51012,0.0,48,2233.86,82.0,136.78,38967.68,227,0.8400000000000001,109.4,68678.06,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W2_D1_M2,2025-09-13T18:45:20,Al qadsiah,108098,380.93,1.29,1070,8555.0,4.7299999999999995,2912.75,1.0,3445.57,73,357,605.0,4477.35,333.72,5519.99,114017.17,4.91,2.02,97.23,0,20.9,9866,5.92,66.11,0.87,307.85,0.9700000000000001,9369.26,524.83,20.0,71.59,74,36076,1.0,68,1718.76,113.0,114.86,9875.79,282,2.1999999999999997,122.43,39416.07,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W2_D1_M2,2025-09-13T18:45:20,Quick Esports,83663,1927.9,0.0,983,8555.0,1.1600000000000001,5099.469999999999,0.0,3208.32,168,349,621.0,7135.05,1560.3,8834.15,86824.73,4.72,0.0,21.78,0,6.96,23011,5.6,125.02,0.5,159.47,0.57,6891.65,538.3199999999999,10.0,44.38,40,39398,0.0,115,3374.03,68.0,27.29,26792.03,162,1.34,66.1,43181.71,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S3,Round Robin,EMEA_S3_RR_W2_D1_M3,2025-09-13T20:20:54,GenG,115408,10576.0,0.0,1003,11105.0,0.6699999999999999,19340.22,0.0,10171.17,429,567,1157.0,13857.42,7597.47,19864.27,123216.95,5.72,0.0,26.17,0,5.11,61933,7.78,144.78,0.44999999999999996,163.82,0.55,14273.93,1137.2,5.0,97.85,97,73678,0.0,129,7283.59,63.0,43.3,66772.47,163,1.1400000000000001,64.51,80403.97,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W2_D1_M3,2025-09-13T20:20:54,Virtuspro,140663,1729.3,0.0,1249,11105.0,7.49,5219.2,0.0,14995.39,236,513,1053.0,6491.97,1411.95,8386.89,155121.56,5.8,6.56,180.82,0,11.440000000000001,33782,6.98,64.52,0.63,397.12,0.71,26470.63,1063.76,12.0,151.01,127,67039,4.0,63,2944.89,127.0,234.59,37077.29,345,1.67,142.01,72506.15,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W2_D2_M1,2025-09-14T17:58:45,Goud Guys,164086,3600.75,2.41,1199,14875.0,1.62,11265.48,3.0,8019.3099999999995,279,523,974.0,10281.85,3159.36,14510.99,135250.43,6.29,2.37,39.54,0,10.16,55525,8.13,129.9,0.79,223.91,0.85,13796.279999999999,796.57,14.0,85.50999999999999,102,90468,3.0,166,5219.47,111.0,55.55,44412.18,270,1.81,91.39,75318.93000000001,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
